location,contact_no,price_euro,property_type,area_sqm
,,136000,APARTMENT,
,21318560,187000,APARTMENT,
,21318560,245000,APARTMENT,
,21413355,,APARTMENT,
,21423736,180000,APARTMENT,
,21423736,410000,VILLA,
,21423736,,HOUSE,
,21423736,,VILLA,
,21434641,55000,HOUSE,
,21470777,185000,OFFICE,
,22353858,1950000,FARMHOUSE,
,22770000,150000,APARTMENT,
,22770000,165000,APARTMENT,
,22770000,165000,PENTHOUSE,
,22770000,166000,APARTMENT,
,22770000,175000,APARTMENT,
,22770000,210000,MAISONETTE,
,22770000,215000,PENTHOUSE,
,22770000,234000,MAISONETTE,
,22770000,240000,MAISONETTE,
,22770000,245000,MAISONETTE,
,22770000,250000,APARTMENT,
,22770000,260000,MAISONETTE,
,22770000,275000,MAISONETTE,
,22770000,350000,MAISONETTE,
,22770000,430000,VILLA,
,22770000,495000,HOUSE,
,23794118,2300000,VILLA,
,23880086,9e+05,FARMHOUSE,
,,240000,MAISONETTE,
,27501056,349000,FLAT,92
,27690922,160000,MAISONETTE,
,,340000,MAISONETTE,295
,6,315000,MAISONETTE,
,,744000,PENTHOUSE,330
,77002039,250000,APARTMENT,186
,77002039,270000,MAISONETTE,200
,77002039,320000,PENTHOUSE,170
,77002039,425000,HOUSE,
,77007700,210000,APARTMENT,
,77007700,250000,PENTHOUSE,
,77007700,265000,APARTMENT,
,77007700,,HOUSE,130
,77018977,245000,MAISONETTE,
,77018977,330000,MAISONETTE,210
,77021367,167000,APARTMENT,
,77030444,143000,APARTMENT,
,77034941,220000,APARTMENT,
,77034941,230000,APARTMENT,
,77075221,270000,APARTMENT,
,77081411,535000,HOUSE,
,77114545,155000,APARTMENT,
,77114545,,APARTMENT,17
,77114545,,APARTMENT,174
,77133331,735000,APARTMENT,320
,77134186,110000,APARTMENT,91.5
,77134186,154000,APARTMENT,
,77134186,240000,PENTHOUSE,
,77134186,375000,SITE,
,77212021,115000,APARTMENT,
,77212021,125000,APARTMENT,
,77212021,140000,MAISONETTE,
,77253502,186000,APARTMENT,
,77253502,234000,APARTMENT,
,77253502,330000,APARTMENT,
,77267753,88000,APARTMENT,
,77267753,,APARTMENT,
,77277753,,APARTMENT,
,77427745,295000,PENTHOUSE,
,77427745,310000,HOUSE,
,77427745,360000,HOUSE,
,77440401,120000,APARTMENT,
,77440401,140000,MAISONETTE,
,77440401,140000,MAISONETTE,126
,77441001,330000,PENTHOUSE,235
,77442745,159000,APARTMENT,
,77442745,175000,APARTMENT,
,77442745,180000,APARTMENT,
,77442745,185000,APARTMENT,
,77442745,250000,APARTMENT,
,77442745,265000,APARTMENT,
,77442745,271000,APARTMENT,
,77442745,287000,APARTMENT,
,77442745,295000,MAISONETTE,
,77442745,313000,MAISONETTE,
,77457547,136000,APARTMENT,
,77457547,38000,APARTMENT,
,77485858,326000,MAISONETTE,
,77485858,360000,APARTMENT,
,77485858,460000,HOUSE,110
,77485858,465000,HOUSE,
,77485858,530000,VILLA,
,77485858,830000,FARMHOUSE,
,77485858,,FARMHOUSE,
,77490670,450000,HOUSE,
,77744448,330000,MAISONETTE,
,77744448,795000,VILLA,410
,77772982,195000,PENTHOUSE,
,77777427,1101000,RESTAURANT,194
,77777555,280000,SITE,
,77777555,60000,SHOP,
,77777555,75000,SHOP,
,77779012,298000,PENTHOUSE,
,77806609,130000,APARTMENT,
,77806609,145000,MAISONETTE,120
,77862546,230000,MAISONETTE,
,77862546,360000,HOUSE,
,77868675,,MAISONETTE,
,77868677,125000,PENTHOUSE,
,77868677,132000,PENTHOUSE,
,78967766,189000,PENTHOUSE,
,79000610,,PENTHOUSE,
,79002400,145000,TOWNHOUSE,
,79002400,210000,MAISONETTE,
,79002400,21000,MAISONETTE,
,79002400,230000,TOWNHOUSE,
,79002400,260000,MAISONETTE,
,79002400,260000,MAISONETTE,170
,79002400,3e+05,MAISONETTE,
,79002400,3e+05,MAISONETTE,185
,79002400,750000,VILLA,
,79002400,750000,VILLA,644
,79002400,750000,VILLA,664
,79002400,,APARTMENT,
,79002400,,MAISONETTE,
,79002550,,APARTMENT,
,79005544,1150000,BUNGALOW,700
,79005544,118000,VILLA,
,79005544,210000,APARTMENT,
,79005544,220000,APARTMENT,
,79005544,229000,MAISONETTE,
,79005544,266000,MAISONETTE,
,79005544,280000,MAISONETTE,
,79005544,282000,APARTMENT,
,79005544,287000,MAISONETTE,
,79005544,315000,HOUSE,
,79005544,330000,APARTMENT,295
,79005544,335000,APARTMENT,
,79005544,340000,MAISONETTE,295
,79005544,345000,MAISONETTE,
,79005544,345000,MAISONETTE,240
,79005544,350000,APARTMENT,
,79005544,350000,MAISONETTE,
,79005544,480000,HOUSE,
,79005544,495000,APARTMENT,
,79005544,,APARTMENT,
,79006967,180000,APARTMENT,
,79006967,205000,PENTHOUSE,
,79006967,220000,APARTMENT,
,79006967,234000,APARTMENT,
,79006967,245000,MAISONETTE,160
,79006967,272000,APARTMENT,
,79008286,208650,MAISONETTE,
,79008286,333543,PENTHOUSE,
,79008286,333543,PENTHOUSE,240
,79008287,1350000,PALAZZO,1154
,79008287,680000,TOWNHOUSE,
,79015000,107000,APARTMENT,125
,79015000,110000,MAISONETTE,
,79015000,175000,APARTMENT,41
,79015000,255000,MAISONETTE,200
,79015000,430000,VILLA,250
,79015000,435000,PLOT,250
,79015000,450000,VILLA,250
,79028283,139000,PENTHOUSE,100
,79028283,155400,APARTMENT,
,79028283,320000,MAISONETTE,
,79030290,160000,APARTMENT,
,79030290,180000,APARTMENT,
,79030819,159000,APARTMENT,
,79030819,175000,APARTMENT,
,79031970,193000,MAISONETTE,
,79031970,210000,APARTMENT,
,79031970,235000,APARTMENT,
,79031970,250000,PENTHOUSE,
,79031970,260000,APARTMENT,
,79031970,320000,VILLA,
,79031970,350000,HOUSE,
,79039999,165000,APARTMENT,150
,79039999,175000,APARTMENT,150
,79039999,350000,APARTMENT,330
,79039999,85000,APARTMENT,
,79049464,130000,MAISONETTE,
,79049464,130000,MAISONETTE,130
,79051496,122000,MAISONETTE,
,79051496,243000,MAISONETTE,
,79051496,425000,HOUSE,
,79055248,105000,MAISONETTE,
,79057603,165000,MAISONETTE,180
,79058592,138500,APARTMENT,
,79058683,210000,FLAT,
,79062006,,APARTMENT,
,79062949,345000,MAISONETTE,
,79062949,595000,BUNGALOW,360
,79069846,24000,APARTMENT,
,79071954,1450000,HOUSE,600
,79071954,480000,APARTMENT,135
,79071954,599000,APARTMENT,
,79071954,895000,BUNGALOW,496
,79079415,198000,APARTMENT,190
,79079415,205000,APARTMENT,
,79079415,215000,APARTMENT,
,79079415,250000,APARTMENT,190
,79079415,450000,PENTHOUSE,250
,79080636,355000,MAISONETTE,238
,79204161,223500,APARTMENT,
,79207570,340000,MAISONETTE,
,79210321,630000,BUNGALOW,
,79211403,,HOUSE,
,79211469,,APARTMENT,
,79211469,,SITE,
,79212191,285000,APARTMENT,
,79213430,315000,PENTHOUSE,235
,79213430,,APARTMENT,
,79213430,,BUNGALOW,1100
,79213430,,PENTHOUSE,
,79220904,125000,APARTMENT,
,79220904,133000,APARTMENT,
,79220904,135000,APARTMENT,
,79220904,175000,APARTMENT,
,79220904,305000,HOUSE,
,79220904,339000,HOUSE,
,79220904,440000,HOUSE,
,79224246,144000,APARTMENT,150
,79228830,155000,APARTMENT,50
,79228830,175000,APARTMENT,55
,79228830,185000,PENTHOUSE,40
,79228830,185000,PENTHOUSE,55
,79228830,220000,MAISONETTE,190
,79228830,230000,HOUSE,245
,79228830,2e+05,PENTHOUSE,130
,79228830,2e+05,PENTHOUSE,40
,79228830,350000,HOUSE,
,79228830,570000,HOUSE,540
,79231275,690000,VILLA,430
,79231275,95800,APARTMENT,
,79231275,96000,APARTMENT,83
,79231367,125000,MAISONETTE,
,79231367,305000,HOUSE,
,79231367,410000,VILLA,
,79231367,560000,BUNGALOW,
,79231367,,HOUSE,
,79231367,,MAISONETTE,
,79232369,147000,APARTMENT,
,79245681,,APARTMENT,
,79257579,,APARTMENT,
,79270458,145000,FLAT,
,79270458,92000,MAISONETTE,
,79270458,,APARTMENT,
,79270458,,MAISONETTE,
,79270615,,APARTMENT,
,79272465,152000,APARTMENT,150
,79272465,175000,APARTMENT,150
,79273153,290000,MAISONETTE,210
,79278517,255000,MAISONETTE,
,79278517,320000,PENTHOUSE,300
,79278517,450000,VILLA,
,79279928,295000,MAISONETTE,
,79283504,145000,APARTMENT,
,79283504,193000,MAISONETTE,
,79283504,194000,MAISONETTE,
,79283504,210000,APARTMENT,
,79283504,211000,APARTMENT,
,79283504,225000,MAISONETTE,
,79283504,230000,MAISONETTE,
,79283504,234000,APARTMENT,
,79283504,235000,MAISONETTE,
,79283504,260000,MAISONETTE,200
,79283504,260000,MAISONETTE,220
,79283504,260000,MAISONETTE,227
,79283504,275000,MAISONETTE,
,79283504,280000,APARTMENT,180
,79283504,299000,MAISONETTE,
,79283504,320000,MAISONETTE,
,79283504,350000,PENTHOUSE,160
,79283504,3e+05,MAISONETTE,
,79283504,3e+05,MAISONETTE,250
,79283504,,MAISONETTE,
,79284030,768000,BUNGALOW,465
,79287054,280000,APARTMENT,
,79287054,350000,MAISONETTE,
,79287054,490000,SITE,
,79287054,650000,VILLA,
,79288417,,APARTMENT,
,79288417,,HOUSE,
,79288841,2e+05,APARTMENT,
,79294648,132300,HOUSE,
,79294648,137900,APARTMENT,
,79294648,169000,APARTMENT,
,79294648,,APARTMENT,
,79295125,160000,FLAT,
,79297690,328000,MAISONETTE,
,79297929,890000,VILLA,650
,79299327,,APARTMENT,
,79301625,162000,MAISONETTE,
,79301625,210000,MAISONETTE,
,79302133,245000,HOUSE,
,79302133,430000,MAISONETTE,
,79302133,,MAISONETTE,
,79302496,16000,SITE,
,79305899,123000,APARTMENT,
,79305899,125000,APARTMENT,
,79305899,130000,PENTHOUSE,
,79305899,135000,APARTMENT,
,79306255,350000,MAISONETTE,
,79306255,,VILLA,600
,79310238,110000,APARTMENT,
,79310238,385000,APARTMENT,
,79310238,480000,PALAZZO,
,79310238,518000,APARTMENT,
,79310238,640000,APARTMENT,
,79310238,,APARTMENT,
,79310597,210000,APARTMENT,
,79310597,,APARTMENT,
,79315748,550000,MAISONETTE,
,79318909,,APARTMENT,
,79318909,,HOUSE,
,79318909,,PENTHOUSE,300
,79318909,,VILLA,
,79328944,313000,MAISONETTE,
,79328944,320000,MAISONETTE,
,79334118,,TOWNHOUSE,
,79334118,,VILLA,
,79343333,116500,APARTMENT,
,79343333,175500,APARTMENT,
,79343333,180000,APARTMENT,
,79343333,475000,HOUSE,
,79343333,479000,BUNGALOW,480
,79343333,850000,APARTMENT,
,79343333,890000,BUNGALOW,590
,79343333,,APARTMENT,
,79343333,,HOTEL,
,79373415,120000,MAISONETTE,
,79373415,140000,APARTMENT,
,79373415,440000,HOUSE,
,79386737,220000,APARTMENT,
,79386737,,APARTMENT,
,79395550,150000,APARTMENT,
,79395550,175000,APARTMENT,
,79395550,265000,APARTMENT,200
,79395550,270000,APARTMENT,200
,79395550,275000,APARTMENT,200
,79395550,3e+05,APARTMENT,200
,79405038,129000,MAISONETTE,
,79405038,145000,APARTMENT,153
,79405038,150000,APARTMENT,153
,79405038,225000,HOUSE,
,79406347,,APARTMENT,
,79421071,210000,APARTMENT,
,79421071,,APARTMENT,
,79421165,330000,MAISONETTE,
,79421901,205000,APARTMENT,
,79421901,215000,APARTMENT,
,79421901,230000,APARTMENT,
,79425354,,MAISONETTE,
,79426774,505000,PENTHOUSE,130
,79426774,795000,VILLA,410
,79427813,190000,TOWNHOUSE,
,79429239,155000,APARTMENT,
,79429239,270000,MAISONETTE,
,79429239,345000,MAISONETTE,230
,79429239,372000,MAISONETTE,
,79429239,380000,APARTMENT,
,79429239,3e+05,PENTHOUSE,220
,79429239,425000,HOUSE,
,79429239,,RESTAURANT,
,79429711,299000,APARTMENT,
,79429711,650000,VILLA,
,79429978,250000,PENTHOUSE,
,79431977,270000,PENTHOUSE,120
,79435003,,TOWNHOUSE,
,79437402,350000,MAISONETTE,
,79440132,110000,APARTMENT,
,79440132,145000,APARTMENT,
,79440132,158000,APARTMENT,
,79440132,165000,FLAT,
,79440132,188000,MAISONETTE,
,79440132,198000,APARTMENT,
,79440132,199000,APARTMENT,
,79440132,40000,VILLA,
,79440132,650000,FARMHOUSE,
,79440132,740000,VILLA,
,79440132,,MAISONETTE,
,79440344,81000,MAISONETTE,
,79440613,124000,APARTMENT,
,79440613,139000,APARTMENT,
,79440613,185000,PENTHOUSE,150
,79440613,205000,APARTMENT,170
,79440613,270000,PENTHOUSE,35
,79440613,290000,PENTHOUSE,35
,79441421,190000,APARTMENT,165
,79441421,211000,APARTMENT,
,79441421,299000,MAISONETTE,
,79442604,,APARTMENT,170
,79443029,365000,MAISONETTE,
,79445991,125000,APARTMENT,
,79445991,13000,APARTMENT,
,79446072,1350000,PALAZZO,1154
,79447945,116000,MAISONETTE,
,79451131,162000,MAISONETTE,
,79451131,,TOWNHOUSE,
,79451708,135000,APARTMENT,
,79451708,55000,HOUSE,
,79451709,185000,MAISONETTE,
,79456423,1150000,BUNGALOW,700
,79456423,140000,MAISONETTE,
,79456423,205000,APARTMENT,
,79456423,210000,PENTHOUSE,200
,79456423,318000,PENTHOUSE,200
,79456423,319000,PENTHOUSE,200
,79456423,,BUNGALOW,700
,79456423,,VILLA,300
,79457082,1030000,BUNGALOW,
,79457082,210000,APARTMENT,
,79457082,476000,VILLA,
,79457082,480000,BUNGALOW,800
,79457082,550000,VILLA,
,79457082,580000,VILLA,1000
,79457082,580000,VILLA,1018
,79457082,585000,BUNGALOW,1.01
,79457082,,BUNGALOW,1100
,79457082,,VILLA,1018
,79457082,,VILLA,420
,79463278,,APARTMENT,
,79471071,450000,PENTHOUSE,60
,79471071,455000,PENTHOUSE,80
,79471661,585000,APARTMENT,
,79473138,220000,APARTMENT,
,79473138,240000,HOUSE,
,79473138,260000,HOUSE,
,79473138,345000,MAISONETTE,240
,79473138,450000,VILLA,
,79473138,499000,VILLA,
,79475593,375000,BUNGALOW,328
,79475593,385000,VILLA,
,79475593,385000,VILLA,328
,79475593,,BUNGALOW,328
,79476218,270000,APARTMENT,
,79476637,325000,MAISONETTE,240
,79476637,,APARTMENT,240
,79476637,,MAISONETTE,
,79478478,128150,MAISONETTE,
,79478478,135000,MAISONETTE,
,79478478,145400,APARTMENT,
,79478478,16000,APARTMENT,
,79478478,163000,APARTMENT,
,79478478,,APARTMENT,
,79478858,210000,MAISONETTE,
,79478858,410000,HOUSE,
,79478858,415000,HOUSE,
,79478858,450000,PENTHOUSE,
,79478858,480000,HOUSE,
,79486346,155000,APARTMENT,
,79490063,1275000,BUNGALOW,1100
,79490063,320000,HOUSE,
,79490063,599000,HOUSE,80
,79490063,675000,FARMHOUSE,200
,79490063,695000,VILLA,330
,79490063,,HOUSE,80
,79490197,,APARTMENT,
,79491003,215000,MAISONETTE,141
,79492605,120000,HOUSE,
,79492605,155000,FLAT,
,79492605,240000,SITE,160
,79492605,325000,BAR,
,79492605,360000,FARMHOUSE,
,79492605,41000,APARTMENT,250
,79492605,42000,APARTMENT,
,79492605,450000,FARMHOUSE,
,79492605,4e+05,FARMHOUSE,
,79492605,550000,BUNGALOW,
,79492605,55000,BUNGALOW,
,79492605,5e+05,BUNGALOW,
,79492605,,FARMHOUSE,
,79493537,22000,APARTMENT,
,79493537,22000,PENTHOUSE,
,79493537,240000,APARTMENT,
,79493537,240000,MAISONETTE,
,79493537,,APARTMENT,
,79493537,,PENTHOUSE,
,79494923,549000,MAISONETTE,
,79495323,535000,HOUSE,
,79495323,595000,HOUSE,
,79495323,635000,HOUSE,150
,79495323,640000,HOUSE,150
,79495323,645000,HOUSE,
,79512841,1150000,APARTMENT,250
,79524407,150000,APARTMENT,
,79524407,195000,PENTHOUSE,
,79524407,195000,PENTHOUSE,26
,79524407,206000,PENTHOUSE,
,79524407,206000,PENTHOUSE,115
,79524407,206000,PENTHOUSE,26
,79524407,230000,APARTMENT,
